label,family,total_pnl,emeralds_pnl,tomatoes_pnl,own_trade_count,overrides_json
plateau_random_027,random,14232.0,7403.0,6829.0,720,"{""ALPHA_EDGE_SCALE"": 1.04, ""ALPHA_IMBALANCE_SCALE"": 1.12, ""ALPHA_THRESHOLD_SCALE"": 1.0, ""BASE_QUOTE_EDGE"": 2.6, ""BASE_TAKE_EDGE"": 1.25, ""FIT_THRESHOLD"": 0.45, ""GAMMA_RANGE"": 0.34, ""GAMMA_TREND"": 0.1, ""GAMMA_VOLATILE"": 0.4, ""HISTORY_WEIGHT"": 0.25, ""HOLD_TIME_COEF"": 0.08, ""HOLD_VOL_COEF"": 0.0, ""IMBALANCE_WEIGHT"": 0.35, ""INVENTORY_SKEW"": 0.035, ""MAX_QUOTE_EDGE"": 5.0, ""MAX_TAKE_SIZE"": 10, ""MICRO_WEIGHT"": 0.3, ""MID_WEIGHT"": 0.25, ""PASSIVE_SIZE"": 8, ""POSITION_BIAS_DIVISOR"": 12.0, ""RANGE_RESERVATION_BIAS"": 0.24, ""REGRESSION_HORIZON"": 2.0, ""REGRESSION_WEIGHT"": 0.2, ""REGRESSION_WINDOW"": 8, ""RESERVATION_SCALE"": 0.12, ""RESIDUAL_REVERT_WEIGHT"": 0.12, ""SOFT_LIMIT_RATIO"": 0.65, ""SPREAD_INV_COEF"": 0.38, ""SPREAD_TIME_COEF"": 0.82, ""SPREAD_VOL_COEF"": 0.84, ""STRONG_TREND_EDGE"": 2.5, ""STRONG_TREND_HOLD_EXIT_BONUS"": 0.9, ""TIME_HORIZON_TICKS"": 10000.0, ""TOXIC_SPREAD_THRESHOLD"": 15.0, ""TOXIC_VOLATILITY_THRESHOLD"": 3.2, ""TREND_BUY_TAKE_EXTRA"": 0.04, ""TREND_EDGE_THRESHOLD"": 1.0, ""TREND_ENTRY_TAKE_BONUS"": 3.0, ""TREND_FAIR_BONUS"": 0.25, ""TREND_HOLD_EXIT_BONUS"": 0.55, ""TREND_IMBALANCE_THRESHOLD"": 0.12, ""TREND_PASSIVE_PUSH"": 0.0, ""TREND_PASSIVE_SIZE_BONUS"": 2.0, ""TREND_QUOTE_LIFT_EXTRA"": 1.0, ""TREND_RESERVATION_BIAS"": 0.02, ""TREND_SELL_HOLD_EXTRA"": 0.24, ""VOL_CONTROL_WINDOW"": 8}"
plateau_random_002,random,14230.0,7403.0,6827.0,728,"{""ALPHA_EDGE_SCALE"": 1.04, ""ALPHA_IMBALANCE_SCALE"": 1.2, ""ALPHA_THRESHOLD_SCALE"": 1.0, ""BASE_QUOTE_EDGE"": 2.55, ""BASE_TAKE_EDGE"": 1.15, ""FIT_THRESHOLD"": 0.45, ""GAMMA_RANGE"": 0.34, ""GAMMA_TREND"": 0.1, ""GAMMA_VOLATILE"": 0.4, ""HISTORY_WEIGHT"": 0.25, ""HOLD_TIME_COEF"": 0.04, ""HOLD_VOL_COEF"": 0.0, ""IMBALANCE_WEIGHT"": 0.35, ""INVENTORY_SKEW"": 0.035, ""MAX_QUOTE_EDGE"": 5.0, ""MAX_TAKE_SIZE"": 10, ""MICRO_WEIGHT"": 0.3, ""MID_WEIGHT"": 0.25, ""PASSIVE_SIZE"": 8, ""POSITION_BIAS_DIVISOR"": 12.0, ""RANGE_RESERVATION_BIAS"": 0.24, ""REGRESSION_HORIZON"": 2.0, ""REGRESSION_WEIGHT"": 0.2, ""REGRESSION_WINDOW"": 8, ""RESERVATION_SCALE"": 0.12, ""RESIDUAL_REVERT_WEIGHT"": 0.12, ""SOFT_LIMIT_RATIO"": 0.65, ""SPREAD_INV_COEF"": 0.38, ""SPREAD_TIME_COEF"": 0.82, ""SPREAD_VOL_COEF"": 1.0, ""STRONG_TREND_EDGE"": 2.5, ""STRONG_TREND_HOLD_EXIT_BONUS"": 0.9, ""TIME_HORIZON_TICKS"": 10000.0, ""TOXIC_SPREAD_THRESHOLD"": 15.0, ""TOXIC_VOLATILITY_THRESHOLD"": 3.2, ""TREND_BUY_TAKE_EXTRA"": 0.08, ""TREND_EDGE_THRESHOLD"": 1.0, ""TREND_ENTRY_TAKE_BONUS"": 3.0, ""TREND_FAIR_BONUS"": 0.25, ""TREND_HOLD_EXIT_BONUS"": 0.55, ""TREND_IMBALANCE_THRESHOLD"": 0.12, ""TREND_PASSIVE_PUSH"": 0.0, ""TREND_PASSIVE_SIZE_BONUS"": 2.0, ""TREND_QUOTE_LIFT_EXTRA"": 2.0, ""TREND_RESERVATION_BIAS"": 0.04, ""TREND_SELL_HOLD_EXTRA"": 0.2, ""VOL_CONTROL_WINDOW"": 8}"
plateau_random_038,random,14224.0,7403.0,6821.0,720,"{""ALPHA_EDGE_SCALE"": 1.06, ""ALPHA_IMBALANCE_SCALE"": 1.2, ""ALPHA_THRESHOLD_SCALE"": 1.03, ""BASE_QUOTE_EDGE"": 2.65, ""BASE_TAKE_EDGE"": 1.2, ""FIT_THRESHOLD"": 0.45, ""GAMMA_RANGE"": 0.34, ""GAMMA_TREND"": 0.1, ""GAMMA_VOLATILE"": 0.4, ""HISTORY_WEIGHT"": 0.25, ""HOLD_TIME_COEF"": 0.08, ""HOLD_VOL_COEF"": 0.0, ""IMBALANCE_WEIGHT"": 0.35, ""INVENTORY_SKEW"": 0.035, ""MAX_QUOTE_EDGE"": 5.0, ""MAX_TAKE_SIZE"": 10, ""MICRO_WEIGHT"": 0.3, ""MID_WEIGHT"": 0.25, ""PASSIVE_SIZE"": 8, ""POSITION_BIAS_DIVISOR"": 12.0, ""RANGE_RESERVATION_BIAS"": 0.2, ""REGRESSION_HORIZON"": 2.0, ""REGRESSION_WEIGHT"": 0.2, ""REGRESSION_WINDOW"": 8, ""RESERVATION_SCALE"": 0.12, ""RESIDUAL_REVERT_WEIGHT"": 0.12, ""SOFT_LIMIT_RATIO"": 0.65, ""SPREAD_INV_COEF"": 0.38, ""SPREAD_TIME_COEF"": 0.82, ""SPREAD_VOL_COEF"": 0.76, ""STRONG_TREND_EDGE"": 2.5, ""STRONG_TREND_HOLD_EXIT_BONUS"": 0.9, ""TIME_HORIZON_TICKS"": 10000.0, ""TOXIC_SPREAD_THRESHOLD"": 15.0, ""TOXIC_VOLATILITY_THRESHOLD"": 3.2, ""TREND_BUY_TAKE_EXTRA"": 0.12, ""TREND_EDGE_THRESHOLD"": 1.0, ""TREND_ENTRY_TAKE_BONUS"": 3.0, ""TREND_FAIR_BONUS"": 0.25, ""TREND_HOLD_EXIT_BONUS"": 0.55, ""TREND_IMBALANCE_THRESHOLD"": 0.12, ""TREND_PASSIVE_PUSH"": 0.0, ""TREND_PASSIVE_SIZE_BONUS"": 2.0, ""TREND_QUOTE_LIFT_EXTRA"": 2.0, ""TREND_RESERVATION_BIAS"": 0.06, ""TREND_SELL_HOLD_EXTRA"": 0.28, ""VOL_CONTROL_WINDOW"": 8}"
plateau_random_012,random,14222.0,7403.0,6819.0,721,"{""ALPHA_EDGE_SCALE"": 1.08, ""ALPHA_IMBALANCE_SCALE"": 1.12, ""ALPHA_THRESHOLD_SCALE"": 1.06, ""BASE_QUOTE_EDGE"": 2.55, ""BASE_TAKE_EDGE"": 1.25, ""FIT_THRESHOLD"": 0.45, ""GAMMA_RANGE"": 0.34, ""GAMMA_TREND"": 0.1, ""GAMMA_VOLATILE"": 0.4, ""HISTORY_WEIGHT"": 0.25, ""HOLD_TIME_COEF"": 0.12, ""HOLD_VOL_COEF"": 0.0, ""IMBALANCE_WEIGHT"": 0.35, ""INVENTORY_SKEW"": 0.035, ""MAX_QUOTE_EDGE"": 5.0, ""MAX_TAKE_SIZE"": 10, ""MICRO_WEIGHT"": 0.3, ""MID_WEIGHT"": 0.25, ""PASSIVE_SIZE"": 8, ""POSITION_BIAS_DIVISOR"": 12.0, ""RANGE_RESERVATION_BIAS"": 0.16, ""REGRESSION_HORIZON"": 2.0, ""REGRESSION_WEIGHT"": 0.2, ""REGRESSION_WINDOW"": 8, ""RESERVATION_SCALE"": 0.12, ""RESIDUAL_REVERT_WEIGHT"": 0.12, ""SOFT_LIMIT_RATIO"": 0.65, ""SPREAD_INV_COEF"": 0.42, ""SPREAD_TIME_COEF"": 0.74, ""SPREAD_VOL_COEF"": 1.0, ""STRONG_TREND_EDGE"": 2.5, ""STRONG_TREND_HOLD_EXIT_BONUS"": 0.9, ""TIME_HORIZON_TICKS"": 10000.0, ""TOXIC_SPREAD_THRESHOLD"": 15.0, ""TOXIC_VOLATILITY_THRESHOLD"": 3.2, ""TREND_BUY_TAKE_EXTRA"": 0.08, ""TREND_EDGE_THRESHOLD"": 1.0, ""TREND_ENTRY_TAKE_BONUS"": 3.0, ""TREND_FAIR_BONUS"": 0.25, ""TREND_HOLD_EXIT_BONUS"": 0.55, ""TREND_IMBALANCE_THRESHOLD"": 0.12, ""TREND_PASSIVE_PUSH"": 0.0, ""TREND_PASSIVE_SIZE_BONUS"": 2.0, ""TREND_QUOTE_LIFT_EXTRA"": 2.0, ""TREND_RESERVATION_BIAS"": 0.06, ""TREND_SELL_HOLD_EXTRA"": 0.24, ""VOL_CONTROL_WINDOW"": 8}"
plateau_random_034,random,14221.0,7403.0,6818.0,722,"{""ALPHA_EDGE_SCALE"": 1.1, ""ALPHA_IMBALANCE_SCALE"": 1.24, ""ALPHA_THRESHOLD_SCALE"": 1.03, ""BASE_QUOTE_EDGE"": 2.65, ""BASE_TAKE_EDGE"": 1.15, ""FIT_THRESHOLD"": 0.45, ""GAMMA_RANGE"": 0.34, ""GAMMA_TREND"": 0.1, ""GAMMA_VOLATILE"": 0.4, ""HISTORY_WEIGHT"": 0.25, ""HOLD_TIME_COEF"": 0.12, ""HOLD_VOL_COEF"": 0.0, ""IMBALANCE_WEIGHT"": 0.35, ""INVENTORY_SKEW"": 0.035, ""MAX_QUOTE_EDGE"": 5.0, ""MAX_TAKE_SIZE"": 10, ""MICRO_WEIGHT"": 0.3, ""MID_WEIGHT"": 0.25, ""PASSIVE_SIZE"": 8, ""POSITION_BIAS_DIVISOR"": 12.0, ""RANGE_RESERVATION_BIAS"": 0.16, ""REGRESSION_HORIZON"": 2.0, ""REGRESSION_WEIGHT"": 0.2, ""REGRESSION_WINDOW"": 8, ""RESERVATION_SCALE"": 0.12, ""RESIDUAL_REVERT_WEIGHT"": 0.12, ""SOFT_LIMIT_RATIO"": 0.65, ""SPREAD_INV_COEF"": 0.42, ""SPREAD_TIME_COEF"": 0.74, ""SPREAD_VOL_COEF"": 0.92, ""STRONG_TREND_EDGE"": 2.5, ""STRONG_TREND_HOLD_EXIT_BONUS"": 0.9, ""TIME_HORIZON_TICKS"": 10000.0, ""TOXIC_SPREAD_THRESHOLD"": 15.0, ""TOXIC_VOLATILITY_THRESHOLD"": 3.2, ""TREND_BUY_TAKE_EXTRA"": 0.08, ""TREND_EDGE_THRESHOLD"": 1.0, ""TREND_ENTRY_TAKE_BONUS"": 3.0, ""TREND_FAIR_BONUS"": 0.25, ""TREND_HOLD_EXIT_BONUS"": 0.55, ""TREND_IMBALANCE_THRESHOLD"": 0.12, ""TREND_PASSIVE_PUSH"": 0.0, ""TREND_PASSIVE_SIZE_BONUS"": 2.0, ""TREND_QUOTE_LIFT_EXTRA"": 2.0, ""TREND_RESERVATION_BIAS"": 0.06, ""TREND_SELL_HOLD_EXTRA"": 0.2, ""VOL_CONTROL_WINDOW"": 8}"
plateau_random_074,random,14221.0,7403.0,6818.0,728,"{""ALPHA_EDGE_SCALE"": 1.08, ""ALPHA_IMBALANCE_SCALE"": 1.12, ""ALPHA_THRESHOLD_SCALE"": 1.06, ""BASE_QUOTE_EDGE"": 2.75, ""BASE_TAKE_EDGE"": 1.2, ""FIT_THRESHOLD"": 0.45, ""GAMMA_RANGE"": 0.34, ""GAMMA_TREND"": 0.1, ""GAMMA_VOLATILE"": 0.4, ""HISTORY_WEIGHT"": 0.25, ""HOLD_TIME_COEF"": 0.12, ""HOLD_VOL_COEF"": 0.0, ""IMBALANCE_WEIGHT"": 0.35, ""INVENTORY_SKEW"": 0.035, ""MAX_QUOTE_EDGE"": 5.0, ""MAX_TAKE_SIZE"": 10, ""MICRO_WEIGHT"": 0.3, ""MID_WEIGHT"": 0.25, ""PASSIVE_SIZE"": 8, ""POSITION_BIAS_DIVISOR"": 12.0, ""RANGE_RESERVATION_BIAS"": 0.24, ""REGRESSION_HORIZON"": 2.0, ""REGRESSION_WEIGHT"": 0.2, ""REGRESSION_WINDOW"": 8, ""RESERVATION_SCALE"": 0.14, ""RESIDUAL_REVERT_WEIGHT"": 0.12, ""SOFT_LIMIT_RATIO"": 0.65, ""SPREAD_INV_COEF"": 0.46, ""SPREAD_TIME_COEF"": 0.9, ""SPREAD_VOL_COEF"": 0.92, ""STRONG_TREND_EDGE"": 2.5, ""STRONG_TREND_HOLD_EXIT_BONUS"": 0.9, ""TIME_HORIZON_TICKS"": 10000.0, ""TOXIC_SPREAD_THRESHOLD"": 15.0, ""TOXIC_VOLATILITY_THRESHOLD"": 3.2, ""TREND_BUY_TAKE_EXTRA"": 0.08, ""TREND_EDGE_THRESHOLD"": 1.0, ""TREND_ENTRY_TAKE_BONUS"": 3.0, ""TREND_FAIR_BONUS"": 0.25, ""TREND_HOLD_EXIT_BONUS"": 0.55, ""TREND_IMBALANCE_THRESHOLD"": 0.12, ""TREND_PASSIVE_PUSH"": 0.0, ""TREND_PASSIVE_SIZE_BONUS"": 2.0, ""TREND_QUOTE_LIFT_EXTRA"": 0.0, ""TREND_RESERVATION_BIAS"": 0.04, ""TREND_SELL_HOLD_EXTRA"": 0.2, ""VOL_CONTROL_WINDOW"": 8}"
plateau_random_040,random,14220.0,7403.0,6817.0,728,"{""ALPHA_EDGE_SCALE"": 1.04, ""ALPHA_IMBALANCE_SCALE"": 1.24, ""ALPHA_THRESHOLD_SCALE"": 1.0, ""BASE_QUOTE_EDGE"": 2.65, ""BASE_TAKE_EDGE"": 1.2, ""FIT_THRESHOLD"": 0.45, ""GAMMA_RANGE"": 0.34, ""GAMMA_TREND"": 0.1, ""GAMMA_VOLATILE"": 0.4, ""HISTORY_WEIGHT"": 0.25, ""HOLD_TIME_COEF"": 0.04, ""HOLD_VOL_COEF"": 0.0, ""IMBALANCE_WEIGHT"": 0.35, ""INVENTORY_SKEW"": 0.035, ""MAX_QUOTE_EDGE"": 5.0, ""MAX_TAKE_SIZE"": 10, ""MICRO_WEIGHT"": 0.3, ""MID_WEIGHT"": 0.25, ""PASSIVE_SIZE"": 8, ""POSITION_BIAS_DIVISOR"": 12.0, ""RANGE_RESERVATION_BIAS"": 0.24, ""REGRESSION_HORIZON"": 2.0, ""REGRESSION_WEIGHT"": 0.2, ""REGRESSION_WINDOW"": 8, ""RESERVATION_SCALE"": 0.14, ""RESIDUAL_REVERT_WEIGHT"": 0.12, ""SOFT_LIMIT_RATIO"": 0.65, ""SPREAD_INV_COEF"": 0.34, ""SPREAD_TIME_COEF"": 0.9, ""SPREAD_VOL_COEF"": 0.84, ""STRONG_TREND_EDGE"": 2.5, ""STRONG_TREND_HOLD_EXIT_BONUS"": 0.9, ""TIME_HORIZON_TICKS"": 10000.0, ""TOXIC_SPREAD_THRESHOLD"": 15.0, ""TOXIC_VOLATILITY_THRESHOLD"": 3.2, ""TREND_BUY_TAKE_EXTRA"": 0.12, ""TREND_EDGE_THRESHOLD"": 1.0, ""TREND_ENTRY_TAKE_BONUS"": 3.0, ""TREND_FAIR_BONUS"": 0.25, ""TREND_HOLD_EXIT_BONUS"": 0.55, ""TREND_IMBALANCE_THRESHOLD"": 0.12, ""TREND_PASSIVE_PUSH"": 0.0, ""TREND_PASSIVE_SIZE_BONUS"": 2.0, ""TREND_QUOTE_LIFT_EXTRA"": 2.0, ""TREND_RESERVATION_BIAS"": 0.06, ""TREND_SELL_HOLD_EXTRA"": 0.24, ""VOL_CONTROL_WINDOW"": 8}"
plateau_random_070,random,14213.0,7403.0,6810.0,728,"{""ALPHA_EDGE_SCALE"": 1.06, ""ALPHA_IMBALANCE_SCALE"": 1.12, ""ALPHA_THRESHOLD_SCALE"": 1.06, ""BASE_QUOTE_EDGE"": 2.75, ""BASE_TAKE_EDGE"": 1.2, ""FIT_THRESHOLD"": 0.45, ""GAMMA_RANGE"": 0.34, ""GAMMA_TREND"": 0.1, ""GAMMA_VOLATILE"": 0.4, ""HISTORY_WEIGHT"": 0.25, ""HOLD_TIME_COEF"": 0.04, ""HOLD_VOL_COEF"": 0.0, ""IMBALANCE_WEIGHT"": 0.35, ""INVENTORY_SKEW"": 0.035, ""MAX_QUOTE_EDGE"": 5.0, ""MAX_TAKE_SIZE"": 10, ""MICRO_WEIGHT"": 0.3, ""MID_WEIGHT"": 0.25, ""PASSIVE_SIZE"": 8, ""POSITION_BIAS_DIVISOR"": 12.0, ""RANGE_RESERVATION_BIAS"": 0.24, ""REGRESSION_HORIZON"": 2.0, ""REGRESSION_WEIGHT"": 0.2, ""REGRESSION_WINDOW"": 8, ""RESERVATION_SCALE"": 0.14, ""RESIDUAL_REVERT_WEIGHT"": 0.12, ""SOFT_LIMIT_RATIO"": 0.65, ""SPREAD_INV_COEF"": 0.42, ""SPREAD_TIME_COEF"": 0.82, ""SPREAD_VOL_COEF"": 0.76, ""STRONG_TREND_EDGE"": 2.5, ""STRONG_TREND_HOLD_EXIT_BONUS"": 0.9, ""TIME_HORIZON_TICKS"": 10000.0, ""TOXIC_SPREAD_THRESHOLD"": 15.0, ""TOXIC_VOLATILITY_THRESHOLD"": 3.2, ""TREND_BUY_TAKE_EXTRA"": 0.04, ""TREND_EDGE_THRESHOLD"": 1.0, ""TREND_ENTRY_TAKE_BONUS"": 3.0, ""TREND_FAIR_BONUS"": 0.25, ""TREND_HOLD_EXIT_BONUS"": 0.55, ""TREND_IMBALANCE_THRESHOLD"": 0.12, ""TREND_PASSIVE_PUSH"": 0.0, ""TREND_PASSIVE_SIZE_BONUS"": 2.0, ""TREND_QUOTE_LIFT_EXTRA"": 1.0, ""TREND_RESERVATION_BIAS"": 0.04, ""TREND_SELL_HOLD_EXTRA"": 0.2, ""VOL_CONTROL_WINDOW"": 8}"
plateau_random_050,random,14208.0,7403.0,6805.0,721,"{""ALPHA_EDGE_SCALE"": 1.04, ""ALPHA_IMBALANCE_SCALE"": 1.12, ""ALPHA_THRESHOLD_SCALE"": 1.0, ""BASE_QUOTE_EDGE"": 2.65, ""BASE_TAKE_EDGE"": 1.3, ""FIT_THRESHOLD"": 0.45, ""GAMMA_RANGE"": 0.34, ""GAMMA_TREND"": 0.1, ""GAMMA_VOLATILE"": 0.4, ""HISTORY_WEIGHT"": 0.25, ""HOLD_TIME_COEF"": 0.12, ""HOLD_VOL_COEF"": 0.0, ""IMBALANCE_WEIGHT"": 0.35, ""INVENTORY_SKEW"": 0.035, ""MAX_QUOTE_EDGE"": 5.0, ""MAX_TAKE_SIZE"": 10, ""MICRO_WEIGHT"": 0.3, ""MID_WEIGHT"": 0.25, ""PASSIVE_SIZE"": 8, ""POSITION_BIAS_DIVISOR"": 12.0, ""RANGE_RESERVATION_BIAS"": 0.16, ""REGRESSION_HORIZON"": 2.0, ""REGRESSION_WEIGHT"": 0.2, ""REGRESSION_WINDOW"": 8, ""RESERVATION_SCALE"": 0.14, ""RESIDUAL_REVERT_WEIGHT"": 0.12, ""SOFT_LIMIT_RATIO"": 0.65, ""SPREAD_INV_COEF"": 0.46, ""SPREAD_TIME_COEF"": 0.98, ""SPREAD_VOL_COEF"": 0.84, ""STRONG_TREND_EDGE"": 2.5, ""STRONG_TREND_HOLD_EXIT_BONUS"": 0.9, ""TIME_HORIZON_TICKS"": 10000.0, ""TOXIC_SPREAD_THRESHOLD"": 15.0, ""TOXIC_VOLATILITY_THRESHOLD"": 3.2, ""TREND_BUY_TAKE_EXTRA"": 0.12, ""TREND_EDGE_THRESHOLD"": 1.0, ""TREND_ENTRY_TAKE_BONUS"": 3.0, ""TREND_FAIR_BONUS"": 0.25, ""TREND_HOLD_EXIT_BONUS"": 0.55, ""TREND_IMBALANCE_THRESHOLD"": 0.12, ""TREND_PASSIVE_PUSH"": 0.0, ""TREND_PASSIVE_SIZE_BONUS"": 2.0, ""TREND_QUOTE_LIFT_EXTRA"": 0.0, ""TREND_RESERVATION_BIAS"": 0.04, ""TREND_SELL_HOLD_EXTRA"": 0.28, ""VOL_CONTROL_WINDOW"": 8}"
plateau_random_023,random,14206.0,7403.0,6803.0,728,"{""ALPHA_EDGE_SCALE"": 1.04, ""ALPHA_IMBALANCE_SCALE"": 1.2, ""ALPHA_THRESHOLD_SCALE"": 1.0, ""BASE_QUOTE_EDGE"": 2.6, ""BASE_TAKE_EDGE"": 1.2, ""FIT_THRESHOLD"": 0.45, ""GAMMA_RANGE"": 0.34, ""GAMMA_TREND"": 0.1, ""GAMMA_VOLATILE"": 0.4, ""HISTORY_WEIGHT"": 0.25, ""HOLD_TIME_COEF"": 0.04, ""HOLD_VOL_COEF"": 0.0, ""IMBALANCE_WEIGHT"": 0.35, ""INVENTORY_SKEW"": 0.035, ""MAX_QUOTE_EDGE"": 5.0, ""MAX_TAKE_SIZE"": 10, ""MICRO_WEIGHT"": 0.3, ""MID_WEIGHT"": 0.25, ""PASSIVE_SIZE"": 8, ""POSITION_BIAS_DIVISOR"": 12.0, ""RANGE_RESERVATION_BIAS"": 0.24, ""REGRESSION_HORIZON"": 2.0, ""REGRESSION_WEIGHT"": 0.2, ""REGRESSION_WINDOW"": 8, ""RESERVATION_SCALE"": 0.14, ""RESIDUAL_REVERT_WEIGHT"": 0.12, ""SOFT_LIMIT_RATIO"": 0.65, ""SPREAD_INV_COEF"": 0.38, ""SPREAD_TIME_COEF"": 0.82, ""SPREAD_VOL_COEF"": 0.76, ""STRONG_TREND_EDGE"": 2.5, ""STRONG_TREND_HOLD_EXIT_BONUS"": 0.9, ""TIME_HORIZON_TICKS"": 10000.0, ""TOXIC_SPREAD_THRESHOLD"": 15.0, ""TOXIC_VOLATILITY_THRESHOLD"": 3.2, ""TREND_BUY_TAKE_EXTRA"": 0.04, ""TREND_EDGE_THRESHOLD"": 1.0, ""TREND_ENTRY_TAKE_BONUS"": 3.0, ""TREND_FAIR_BONUS"": 0.25, ""TREND_HOLD_EXIT_BONUS"": 0.55, ""TREND_IMBALANCE_THRESHOLD"": 0.12, ""TREND_PASSIVE_PUSH"": 0.0, ""TREND_PASSIVE_SIZE_BONUS"": 2.0, ""TREND_QUOTE_LIFT_EXTRA"": 1.0, ""TREND_RESERVATION_BIAS"": 0.02, ""TREND_SELL_HOLD_EXTRA"": 0.24, ""VOL_CONTROL_WINDOW"": 8}"
plateau_random_094,random,14205.0,7403.0,6802.0,721,"{""ALPHA_EDGE_SCALE"": 1.04, ""ALPHA_IMBALANCE_SCALE"": 1.12, ""ALPHA_THRESHOLD_SCALE"": 1.06, ""BASE_QUOTE_EDGE"": 2.8, ""BASE_TAKE_EDGE"": 1.3, ""FIT_THRESHOLD"": 0.45, ""GAMMA_RANGE"": 0.34, ""GAMMA_TREND"": 0.1, ""GAMMA_VOLATILE"": 0.4, ""HISTORY_WEIGHT"": 0.25, ""HOLD_TIME_COEF"": 0.12, ""HOLD_VOL_COEF"": 0.0, ""IMBALANCE_WEIGHT"": 0.35, ""INVENTORY_SKEW"": 0.035, ""MAX_QUOTE_EDGE"": 5.0, ""MAX_TAKE_SIZE"": 10, ""MICRO_WEIGHT"": 0.3, ""MID_WEIGHT"": 0.25, ""PASSIVE_SIZE"": 8, ""POSITION_BIAS_DIVISOR"": 12.0, ""RANGE_RESERVATION_BIAS"": 0.24, ""REGRESSION_HORIZON"": 2.0, ""REGRESSION_WEIGHT"": 0.2, ""REGRESSION_WINDOW"": 8, ""RESERVATION_SCALE"": 0.1, ""RESIDUAL_REVERT_WEIGHT"": 0.12, ""SOFT_LIMIT_RATIO"": 0.65, ""SPREAD_INV_COEF"": 0.34, ""SPREAD_TIME_COEF"": 0.82, ""SPREAD_VOL_COEF"": 0.92, ""STRONG_TREND_EDGE"": 2.5, ""STRONG_TREND_HOLD_EXIT_BONUS"": 0.9, ""TIME_HORIZON_TICKS"": 10000.0, ""TOXIC_SPREAD_THRESHOLD"": 15.0, ""TOXIC_VOLATILITY_THRESHOLD"": 3.2, ""TREND_BUY_TAKE_EXTRA"": 0.08, ""TREND_EDGE_THRESHOLD"": 1.0, ""TREND_ENTRY_TAKE_BONUS"": 3.0, ""TREND_FAIR_BONUS"": 0.25, ""TREND_HOLD_EXIT_BONUS"": 0.55, ""TREND_IMBALANCE_THRESHOLD"": 0.12, ""TREND_PASSIVE_PUSH"": 0.0, ""TREND_PASSIVE_SIZE_BONUS"": 2.0, ""TREND_QUOTE_LIFT_EXTRA"": 0.0, ""TREND_RESERVATION_BIAS"": 0.04, ""TREND_SELL_HOLD_EXTRA"": 0.28, ""VOL_CONTROL_WINDOW"": 8}"
plateau_random_018,random,14200.0,7403.0,6797.0,721,"{""ALPHA_EDGE_SCALE"": 1.06, ""ALPHA_IMBALANCE_SCALE"": 1.16, ""ALPHA_THRESHOLD_SCALE"": 1.03, ""BASE_QUOTE_EDGE"": 2.55, ""BASE_TAKE_EDGE"": 1.3, ""FIT_THRESHOLD"": 0.45, ""GAMMA_RANGE"": 0.34, ""GAMMA_TREND"": 0.1, ""GAMMA_VOLATILE"": 0.4, ""HISTORY_WEIGHT"": 0.25, ""HOLD_TIME_COEF"": 0.12, ""HOLD_VOL_COEF"": 0.0, ""IMBALANCE_WEIGHT"": 0.35, ""INVENTORY_SKEW"": 0.035, ""MAX_QUOTE_EDGE"": 5.0, ""MAX_TAKE_SIZE"": 10, ""MICRO_WEIGHT"": 0.3, ""MID_WEIGHT"": 0.25, ""PASSIVE_SIZE"": 8, ""POSITION_BIAS_DIVISOR"": 12.0, ""RANGE_RESERVATION_BIAS"": 0.2, ""REGRESSION_HORIZON"": 2.0, ""REGRESSION_WEIGHT"": 0.2, ""REGRESSION_WINDOW"": 8, ""RESERVATION_SCALE"": 0.12, ""RESIDUAL_REVERT_WEIGHT"": 0.12, ""SOFT_LIMIT_RATIO"": 0.65, ""SPREAD_INV_COEF"": 0.46, ""SPREAD_TIME_COEF"": 0.82, ""SPREAD_VOL_COEF"": 0.84, ""STRONG_TREND_EDGE"": 2.5, ""STRONG_TREND_HOLD_EXIT_BONUS"": 0.9, ""TIME_HORIZON_TICKS"": 10000.0, ""TOXIC_SPREAD_THRESHOLD"": 15.0, ""TOXIC_VOLATILITY_THRESHOLD"": 3.2, ""TREND_BUY_TAKE_EXTRA"": 0.08, ""TREND_EDGE_THRESHOLD"": 1.0, ""TREND_ENTRY_TAKE_BONUS"": 3.0, ""TREND_FAIR_BONUS"": 0.25, ""TREND_HOLD_EXIT_BONUS"": 0.55, ""TREND_IMBALANCE_THRESHOLD"": 0.12, ""TREND_PASSIVE_PUSH"": 0.0, ""TREND_PASSIVE_SIZE_BONUS"": 2.0, ""TREND_QUOTE_LIFT_EXTRA"": 0.0, ""TREND_RESERVATION_BIAS"": 0.06, ""TREND_SELL_HOLD_EXTRA"": 0.32, ""VOL_CONTROL_WINDOW"": 8}"
